Step_n,H_C(n),F_j(n),Omega_TT(n),Free_Energy_Analog
1,3.584962500721156,2.0,1.792481250360578,1.584962500721156
2,4.0,2.584962500721156,1.5474112289381665,1.415037499278844
3,4.321928094887362,3.0,1.4406426982957872,1.3219280948873617
4,4.584962500721156,3.321928094887362,1.3802112417116061,1.263034405833794
5,4.807354922057604,3.584962500721156,1.3409777427492058,1.2223924213364477
6,5.0,3.807354922057604,1.3132476751859676,1.1926450779423958
7,5.169925001442312,4.0,1.292481250360578,1.1699250014423122
8,5.321928094887362,4.169925001442312,1.2762647033331749,1.1520030934450496
9,5.459431618637297,4.321928094887362,1.2631935327881898,1.1375035237499356
10,5.584962500721156,4.459431618637297,1.2523933492734654,1.1255308820838588
11,5.700439718141093,4.584962500721156,1.2432903687313661,1.1154772174199366
12,5.807354922057604,4.700439718141093,1.235491841251454,1.106915203916511
13,5.906890595608519,4.807354922057604,1.2287194707646634,1.099535673550915
14,6.0,4.906890595608519,1.222770282543037,1.0931094043914813
15,6.087462841250339,5.0,1.217492568250068,1.087462841250339
16,6.169925001442312,5.087462841250339,1.2127705290376014,1.082462160191973
17,6.247927513443585,5.169925001442312,1.20851414898679,1.078002512001273
18,6.321928094887363,5.247927513443585,1.2046523277412877,1.0740005814437774
19,6.392317422778761,5.321928094887363,1.201128107859949,1.070389327891398
20,6.459431618637297,5.392317422778761,1.1978952854946423,1.0671141958585366
